Date;Lat;Lon;Dep;Mag;Place
2016.01.16;35.5853;31.3583;003.2;4.0;AKDENIZ
2016.01.14;39.3557;40.0743;005.0;3.5;AGASENLIGI-PULUMUR (TUNCELI) [South West 3.4 km]
2016.01.12;39.5875;34.3537;003.9;3.8;HACIDURAKLI-CICEKDAGI (KIRSEHIR) [ 3.43 km]
2016.01.10;39.5970;34.3363;008.6;5.2;ALAHACILI-CICEKDAGI (KIRSEHIR) [South East 4.3 km]
2016.01.10;39.5738;34.3450;003.1;3.6;HACIDURAKLI-CICEKDAGI (KIRSEHIR) [North 1.7 km]
2016.01.07;38.9173;43.5622;005.0;3.8;CAKIRBEY- (VAN) [North West 1.5 km]
2016.01.07;38.9027;43.5425;005.0;4.4;COLPAN- (VAN) [South West 1.8 km]
2016.01.05;36.6140;26.8243;138.0;3.8;AKDENIZ
2016.01.04;36.9153;35.4050;022.6;3.9;YUREGIR (ADANA) [South East 9.9 km]
2016.01.04;36.5515;26.9138;130.4;3.7;ONIKI ADALAR (AKDENIZ)
2016.01.03;39.2848;40.2082;005.0;3.5;SABIRTASI-KIGI (BINGOL) [East 1.6 km]
2016.01.01;41.1707;38.6348;010.8;3.5;GIRESUN ACIKLARI (KARADENIZ)
2016.01.01;40.0663;30.5187;005.0;4.2;TOZMAN-INHISAR (BILECIK) [South East 1.6 km]
2015.12.29;39.1543;29.1347;008.1;3.5;INLICE-SIMAV (KUTAHYA) [North West 4.2 km]
2015.12.29;39.1435;29.1377;011.1;3.6;INLICE-SIMAV (KUTAHYA) [North West 3.3 km]
2015.12.28;39.6882;38.9623;005.0;3.5;HAKBILIR-KEMAH (ERZINCAN) [North East 2.2 km]
2015.12.26;35.5172;27.3490;019.3;5.4;AKDENIZ
2015.12.26;35.4992;31.2158;005.3;4.1;AKDENIZ
2015.12.24;35.9250;27.5022;010.3;3.7;AKDENIZ
2015.12.23;39.1888;27.8180;009.7;3.5;ALACALAR-KIRKAGAC (MANISA) [South West 2.3 km]
2015.12.18;36.0865;29.6932;005.0;3.5;KAS ACIKLARI-ANTALYA (AKDENIZ)
2015.12.17;36.1475;30.5410;022.6;3.6;AKDENIZ
2015.12.17;38.8368;27.1605;013.4;3.8;HACIOMERLI-ALIAGA (IZMIR) [South East 1.7 km]
2015.12.16;39.2627;40.2200;005.0;3.6;ACIKGUNEY-KIGI (BINGOL) [North West 0.4 km]
2015.12.16;38.0490;42.6623;005.0;3.9;MEYDAN-HIZAN (BITLIS) [East 3.3 km]
2015.12.13;40.7810;30.9912;002.5;3.5;GOLYAKA (DUZCE) [South West 1.3 km]
2015.12.13;39.1830;27.8012;009.8;3.5;GEBELER-KIRKAGAC (MANISA) [North West 2.1 km]
2015.12.12;35.6970;31.4007;010.1;3.5;AKDENIZ
2015.12.12;37.8907;43.5385;003.3;4.1;YALINCA-GURPINAR (VAN) [North East 3.0 km]
2015.12.09;35.6792;31.3777;004.6;3.7;AKDENIZ
2015.12.09;38.8237;37.8392;005.0;3.7;DURSUNLU-HEKIMHAN (MALATYA) [North West 1.4 km]
2015.12.09;38.8102;37.8532;005.0;4.6;DURSUNLU-HEKIMHAN (MALATYA) [ .59 km]
2015.12.08;39.2873;40.2415;002.0;3.9;YAZGUNU-KIGI (BINGOL) [North West 2.3 km]
2015.12.07;39.2810;40.2337;005.0;4.3;YAZGUNU-KIGI (BINGOL) [ 2.17 km]
